*;CC(C#N)C1CC(=O)N1;CC(C#N)C1CC(=O)N1
*;CNC(C#N)=NC(C)C;CNC(C#N)=NC(C)C
*;CC(C)(C(N)=O)C1CN1;CC(C)(C(N)=O)C1CN1
*;CC1CC(C)(OC=O)C1;CC1CC(C)(OC=O)C1
*;CCCc1coc(C)n1;CCCc1coc(C)n1
*;C#CC(C)(C)COC=O;C#CC(C)(C)COC=O
*;CC1C(C#N)N2CCC12;CC1C(C#N)N2CCC12
*;Nc1cc(CCO)co1;Nc1cc(CCO)co1
*;COCCC(=O)OC;COCCC(=O)OC
*;O=Cc1n[nH]nc1C=O;O=Cc1n[nH]nc1C=O
*;C#CC1CC1C1OC1C;C#CC1CC1C1OC1C
*;C#CC(O)CCC(C)=O;C#CC(O)CCC(C)=O
*;O=COC1CC(=NO)C1;O=COC1CC(=NO)C1
*;CCC(O)(CO)C(C)=O;CCC(O)(CO)C(C)=O
*;CC12NC1CC2OC=O;CC12NC1CC2OC=O
*;CCC1(C=O)OCC1O;CCC1(C=O)OCC1O
*;O=CC(=O)C1OC1CO;O=CC(=O)C1OC1CO
*;CC(C)(C#N)C1(C)CO1;CC(C)(C#N)C1(C)CO1
*;CC1=CCC(=O)C1C=O;CC1=CCC(=O)C1C=O
*;CCCCCC(=O)C=O;CCCCCC(=O)C=O
*;O=CC1=CC=CCC=C1;O=CC1=CC=CCC=C1
*;CC(C)(C)CCOC=O;CC(C)(C)CCOC=O
*;N#CCC(CO)CC#N;N#CCC(CO)CC#N
*;N#CC1(O)CC1CO;N#CC1(O)CC1CO
*;OCCN1CC(O)C1;OCCN1CC(O)C1
*;N#CC1C(N)C1(O)C#N;N#CC1C(N)C1(O)C#N
*;O=C1CC(CO)=CCO1;O=C1CC(CO)=CCO1
*;CC(C=O)C(C)NC=O;CC(C=O)C(C)NC=O
*;CCC(C)C(C)CCO;CCC(C)C(C)CCO
*;CCc1nnn2c1CC2;CCc1nnn2c1CC2
*;CCCC(C)CC#N;CCCC(C)CC#N
*;COc1cnc(CN)o1;COc1cnc(CN)o1
*;CC12CCC1(OC=O)C2;CC12CCC1(OC=O)C2
*;CCCC1CC1COC;CCCC1CC1COC
*;C[NH2+]C(C(=O)[O-])C(C)O;C[NH2+]C(C(=O)[O-])C(C)O
*;CCC(CO)OC=N;CCC(CO)OC=N
*;C#CC#CC(O)C(N)=O;C#CC#CC(O)C(N)=O
*;O=CNC12CC1CC2O;O=CNC12CC1CC2O
*;N#CC1C2C(O)CC12O;N#CC1C2C(O)CC12O
*;C#CC(O)C(=O)C(C)C;C#CC(O)C(=O)C(C)C
*;CC(C#CCO)=NO;CC(C#CCO)=NO
*;O=CC1C=CC2C(O)C12;O=CC1C=CC2C(O)C12
*;NC(=O)C(N)C(F)(F)F;NC(=O)C(N)C(F)(F)F
*;CCCCCCC(N)=O;CCCCCCC(N)=O
*;C#CC1=CC(O)C2NC12;C#CC1=CC(O)C2NC12
*;N#CC1CC2(CO2)C1N;N#CC1CC2(CO2)C1N
*;N#CCC1(CCO)CC1;N#CCC1(CCO)CC1
*;C#Cc1cncc(=N)[nH]1;C#Cc1cncc(=N)[nH]1
*;OCC1C(CO)C1CO;OCC1C(CO)C1CO
*;C#CC1OC12COC2=N;C#CC1OC12COC2=N
